語詞,解釋
未知,不知道。[例]雖然動過緊急手術，可是能否能安然存活，尚在未知之天！
居高臨下,位在高處，可向下俯視。或比喻處於有利的地位。[例]這個城市居高臨下，易守難攻，自古以來即為軍事堡壘。
大樓,高大的樓房。[例]這地區辦公大樓林立，市容非常壯觀。
長頸鹿,動物名。哺乳綱偶蹄目長頸鹿科。原產於非洲撒哈拉以南的大部分地區。形略似鹿，腿和頸部甚長，視覺和聽覺都很好，毛淺黃色，有淺棕褐色斑點。群居，生活在平原和開闊的灌木地區，以金合歡屬植物的葉為食。步距長，跑得很快，性情馴順。[例]長頸鹿是地球上最高的動物。　◎
代表,1.由機關、團體選舉出來或受委託、指派以代替眾人辦事或表達意見的人。[例]鄉民代表、會員代表
經濟,1.指人類利用種種財貨，來滿足欲望的一切行為及狀態。通常指一國國民的生產、銷售及分配關係，或指國家、個人的收支狀況。[例]經濟恐慌、經濟建設
地震,由地球內部變動所引起的地殼位移。[例]地震時，要儘速逃往空地，或躲到牆角、桌下。
通訊,信件、訊息或信號的傳遞。[例]颱風過後，電話的通訊不良，常有雜音干擾。
吉隆坡,城市名。位於馬來半島西側中部，新加坡西北。馬來西亞的首都，市內有華麗的建築，廣闊的道路及清靜的公園，四郊多橡園與鉛礦，是馬來西亞最繁盛的都市，亦為鐵路交通中心。
連通橋,連繫兩地或多地交通的橋梁。[例]這裡的商業大樓間設有多座連通橋，行人往來十分安全且便利。
泰國,國名。位於東南亞中南半島中部。參見「泰王國」條。
華麗,豪華美麗。[例]他衣飾華麗，大概是有錢人家的子弟。
和尚,泛稱男性僧侶。[例]他晚年看破紅塵，出家當了和尚。　△沙門、僧人
逛逛,隨意走動。[例]爸爸常在假日時，帶我們去逛逛書店或看看電影。
埃及,國名。位於非洲東北部及亞洲的西奈半島。參見「埃及阿拉伯共和國」條。
尼羅河,發源於東非高原的一條河流。上游的白尼羅河與藍尼羅河在蘇丹喀土木會流，成為尼羅河主流。流經蒲隆地、坦尚尼亞、盧安達、薩伊、肯亞、烏干達、蘇丹、衣索比亞、埃及等國，下游在埃及開羅附近進入尼羅河三角洲，注入地中海。全長約6648公里，為世界最長的河流。每年定期氾濫，使沿岸土壤更加肥沃。河口三角洲是世界古文明發祥地之一。[例]古埃及文明發源於尼羅河，對近代西方文化的發展有重大影響。
地勢,地面高低起伏的形勢。[例]地勢陡峭、地勢平坦
低窪,地勢凹陷，比四周低下。[例]颱風來襲後，低窪地區要嚴防豪雨成災。
築堤,建築堤防。[例]築堤修路
防潮,1.防止潮溼。[例]為了防潮，他特地在箱子裡放了些乾燥劑。
鬱金香,植物名。百合科山慈姑屬，多生年草本。原產於小亞細亞。葉接莖下部互生，呈廣披針形或橢圓狀披針形，葉緣略向內捲。花似倒鐘形，亦稱為「鬱金香」，花瓣六片，有單瓣也有重瓣，很容易產生變種。原種為白色紅緣，另有赤、黃、白、紫等色。主供觀賞。[例]鬱金香是荷蘭花卉出口的大宗。
奇幻,非常神奇，好像夢幻一般。[例]魔術師的奇幻表演，讓現場觀眾驚嘆不已。
旋律,若干高低、長短、強弱不同的樂音，依節奏上的一定組織關係連續奏出，稱為「旋律」。是構成音樂的基本要素，可以表現出音樂的內容、風格及體裁。[例]這首老歌旋律優美，令人百聽不厭。
一瞬間,比喻很短的時間。[例]在風勢的助長下，那棟木造的房子在一瞬間就被大火吞噬了。
體驗,親身體會、感受。[例]暑假時我們打算到鄉下小住幾天，體驗一下農家生活。
芝麻,植物名。胡麻科胡麻屬，一年生草本。莖方形。葉長，對生或互生，呈橢圓形或卵形。花單生於葉腋，表面有毛，向側方下垂，呈白色或雜有淡紅色。果實為長橢圓形的蒴角，熟後縱裂。種子小而扁平，有白色及黑色等數種，可供食用或榨油。大多分布於熱帶地區。[例]多食用芝麻，據說可使頭髮變得更加烏黑亮麗。　△胡麻、油麻
大盜,強行掠奪別人財物的人。[例]江洋大盜、蒙面大盜
邁開,跨出、踏出腳步。如：「他說完後，就邁開步子走了。」
臉龐,面容、臉蛋。[例]我永遠忘不了他領獎時，臉龐上所呈現的驕傲神情。
榮華富貴,顯榮發達，財多位尊。[例]釋迦牟尼捨棄王宮中榮華富貴的生活，苦身修道，終成正果。
背心,一種蔽護胸背的無袖上衣，可分兩種：一種是貼身的汗衫，一種是配合其他衣物，套穿於外面。　◎◎
懷錶,裝在衣袋裡可隨身懷帶的錶。比一般手錶大，錶外加蓋。也作「懷表」。
上鎖,把門或開關用鎖鎖上。《初刻拍案驚奇》卷一七：「坐到夜深，悄自走去看看，腰門掩著不拴，後門原自關好上鎖的。」《紅樓夢》第七四回：「至晚飯後，待賈母安寢了，寶釵等入園時，王家的便請了鳳姐一併入園，喝命角門皆上鎖。」
鑰匙,開鎖的器物。[例]小明出門時忘記帶鑰匙，只好站在門外等媽媽回來。　△鎖匙
果汁,用水果擠榨出來的汁液，或以水果汁液做成的飲料。如檸檬汁、葡萄汁等。[例]多喝果汁可以美容養顏。
標示,標明、揭示。[例]這塊牌子標示著「遊客止步」。
迫不及待,比喻情況或時間急切，不能再等。[例]為了知道選舉結果，大家迫不及待的打開電視觀看選情報導。
口袋,縫在衣物上的袋子。[例]他喜歡穿有口袋的上衣，以便放置隨身物品。
盒子,1.有底、蓋可相合的盛物器皿。[例]請把那個裝針線的盒子放在縫紉機旁邊。
扇子,一種搖動生風以驅除熱氣的用具。[例]爺爺搖著扇子在庭院裡乘涼。
遲到,到達的時間超過了既定的時限。[例]遲到早退是不好的行為。
妻子,妻與兒女。[例]他與妻子四人常利用假日到郊外踏青。 / 稱男子的配偶。[例]他和妻子之間相敬如賓，甚少有口角發生。
耐心,心情平和而不厭煩、急躁。[例]王老師非常有耐心的解決學生們的問題。
皮革,獸皮經過去毛、去脂等處理而製成的熟皮。[例]皮革可以做成各種皮製品，如皮鞋、皮包、皮衣、皮帶等。
雙倍,兩倍。[例]他以雙倍的價錢買下拍賣的骨董。
謎團,比喻事物隱晦不清，讓人難以明白、理解。[例]這件命案調查至今已近一年，仍是謎團重重。
鐘聲,敲鐘所發出的聲音。唐．張繼〈楓橋夜泊〉詩：「姑蘇城外寒山寺，夜半鐘聲到客船。」
小精靈,1.北歐神話中的人物。有親切可愛的白精靈和兇惡調皮的黑精靈。
鐵鎚,鐵製的鎚子。[例]用鐵鎚釘釘子，也要有技術，才不會釘歪了。
嘖嘖稱奇,對事物的奇妙讚嘆不已。[例]看過那位氣功大師現場表演的人，莫不嘖嘖稱奇。
內心,1.泛指思想或感情。因為心是思想的主體，二者又都在身體內，故稱為「內心」。[例]他經過不斷的努力，終於考上理想的學校，因此內心充滿喜悅。
潔白,乾淨清白。[例]她穿了一身潔白的衣服，看起來像天女下凡。
環境,泛指地表上影響人類及其他生物賴以生活、生存的空間、資源及其他有關的事物狀態。[例]社會環境、學習環境、居住環境
甚至,表示更進一層的連接詞。[例]他忙得甚至連吃飯時間都沒有。
懶散,懶惰散漫的樣子。[例]為了避免退休後日漸懶散，他決定投身社會的公益活動。
雜亂,混雜凌亂的樣子。[例]他日夜繁忙，疏於打理家務，屋內雜亂不堪。
調和,1.烹調五味。[例]廚師善於調和五味，烹飪佳餚。
雜草叢生,野草生長得很多。[例]後院荒廢已久，處處雜草叢生。
舒暢,舒適暢快。[例]身心舒暢
格格不入,彼此牴觸，不相調和。[例]這幅西洋油畫掛在古色古香的大廳上，顯得格格不入。
自言自語,自己對自己說話。[例]只見他高興得手舞足蹈，自言自語，不知有什麼奇思妙想？
窮困,生計窘迫或境遇艱難。[例]雖然家境清寒，生活窮困，他仍然勤奮向學。
三餐不繼,形容生活貧困，連吃飯都有一餐沒一餐的。[例]他因生意失敗，導致全家三餐不繼。
研讀,研究誦讀。[例]老師指導我們研讀課外書刊，以增廣知識。
準備,1.事先安排或籌劃。[例]事前有充分的準備，臨時才不會手忙腳亂。
化緣,僧、尼、道士向人乞求布施。因布施者與仙佛結下善緣，故稱為「化緣」。[例]為籌措修繕古剎的經費，住持和尚到處化緣。
到達,抵達某一地點或目的。[例]依目前的情形估計，我們大約下午三點鐘可到達目的地。
慚愧,1.羞愧。[例]他在發現自己做錯事後，感到十分慚愧後悔。
顧慮,顧忌、憂慮。[例]確立奮鬥目標後，即當放手去做，不必顧慮太多！
絆腳石,在路上會絆人腳的石頭。比喻阻礙進展的人或事物。[例]猶豫是成功的絆腳石。
啟事,在報刊或布告欄上的公開聲明。[例]尋人啟事、道歉啟事、遺失啟事
宣傳,1.公開傳播宣揚，使眾人知曉。[例]這部影片的主角近日將隨片來臺，進行宣傳。
選拔,挑選優秀、適合的人選。[例]他在這次歌唱選拔大賽中表現優異，從眾多參賽者中脫穎而出。
勤奮,勤勞奮發而不懈怠。[例]他工作勤奮，正一步步朝自己的理想前進。
剛健,剛堅強健。[例]剛健中正、剛健篤實
厲害,1.猛烈、強烈。[例]他看了那幕驚險的鏡頭，心跳得很厲害。
蝸牛,動物名。軟體動物門腹足綱。為一種有肺的軟體動物，外殼扁圓。頭有四個觸角，其中一對較長。尖端有眼，用腹足蠕動前進。雌雄同體，對農作物有害。[例]蝸牛走過的地方，會留下一道白色透明的黏液。　△篆愁君、水牛兒　◎
駱駝,動物名。哺乳綱偶蹄目駱駝科。原產於北非、阿拉伯、伊朗、中亞和西班牙等地。身形高大，背上有駝峰，分為單峰和雙峰兩種。雙重眼瞼，可擋風沙。腳下有肉墊，適於行走沙漠。能反芻，有高度耐飢渴的能力。可供騎乘及載貨，是沙漠中的主要負重動物。[例]駱駝的胃裡有可儲水的小泡泡，所以牠可以好幾天不喝水。　△沙漠之舟　◎
眉頭,兩眉之間。[例]他心情不佳，終日眉頭深鎖。
遊艇,供人運動或遊樂的小艇。[例]每逢假日，他喜歡和幾個朋友乘遊艇到外海垂釣。　◎
拭目以待,比喻期待事情的發展及結果。[例]他撰寫的新書即將出版，許多讀者都拭目以待。
稻米,稻子去殼後的米粒。[例]政府推出許多用稻米製作的點心食譜，以鼓勵國民多多食用。
蘿蔔糕,用糯米漿加上蘿蔔絲、蝦米等配料蒸製而成的食品。[例]過年時媽媽總會買塊蘿蔔糕，以討個好采頭。
米漿,用米和花生磨製而調成的濃稠汁液。[例]一杯米漿，一根油條，就是他多年來固定不變的早餐。
發財,1.獲得很多金錢。[例]他為了發財，不惜從事投機事業。
艾草,→艾
健康,生理及心理機能正常，強壯安適，沒有缺陷和疾病。[例]健康就是人生最大的財富。
粽子,我國民間端午節應節的食品。以竹葉或蘆葉包裹糯米而成。有各式口味，如肉粽、鹼粽、豆沙粽等。
推陳出新,除去老舊的，創造出新的事物或方法。[例]本公司的產品要不斷的推陳出新，以迎合顧客的需求。
書籍,書本冊籍的總稱。[例]王教授將他生平珍愛的一些書籍捐贈給圖書館。
出版,將文稿、資料等編印成圖書報刊，以供出售或傳布。[例]這位作家的新作即將出版，預約可享八折優待。
簡介,簡明扼要的介紹。[例]一般國家公園多備有手冊，簡介園內的環境和歷史。
哭泣,哭。[例]他個性堅強，遇到挫折從不哭泣。
過敏,1.人體對環境中某些物質反應特別敏感而產生不適的現象。[例]藥物過敏、花粉過敏
發癢,1.皮膚受外物刺激，而產生想要抓搔的感覺。[例]他因皮膚過敏而全身發癢。
麥芽糖,穀物胚芽中的澱粉酶把澱粉分解製成糖，這種糖稱為「麥芽糖」。是一種有機化合物，為兩分子葡萄糖組成的雙醣類。易溶於水，甜味不及蔗糖，主要用於食品工業上，可作滋養劑，及製造糖果、酒精。[例]糖葫蘆外面裹著一層麥芽糖，甜甜的，是小孩子喜歡的零食。
封面,書籍雜誌等的外層。[例]這本書的封面設計很別緻。
發酵,有機物質受細菌或酵母菌的作用，發生化學變化，產生酒精的過程。[例]酵母菌行發酵作用時，可以將糖分解為酒精和二氧化碳。
讚嘆,讚美、驚嘆。[例]面對尼加拉瀑布的壯麗景觀，我不禁讚嘆大自然的奧妙神奇。
穿插,1.交雜。[例]在一大束紅玫瑰中穿插一些白色的滿天星，別具一番風貌。
紅磚,紅色的磚頭。如：「我老家的房子，是用一塊塊的紅磚砌成的。」《西遊記》第五九回：「只見那路旁有座莊院，乃是紅瓦蓋的房舍，紅磚砌的垣牆，紅油門扇，紅漆板榻，一片都是紅的。」
昂貴,價格很高。[例]進口的名牌貨品價格都比較昂貴。
繁榮,興盛發達。[例]由於財經策略運用成功，臺灣經濟日益繁榮。
葫蘆,1.→扁蒲
彎彎曲曲,不直、曲折。[例]這條山路彎彎曲曲，非常難走。
狹窄,1.寬度窄小。[例]自從那條狹窄的外環道路拓寬後，塞車的狀況改善不少。
家喻戶曉,家家戶戶都知道，形容事情或名聲傳布極廣。[例]她是家喻戶曉的大明星，因此一舉一動都格外引人注目。
芬芳,1.香氣。[例]百花競吐芬芳。
足跡,1.腳踏過的痕跡。[例]沙灘上印下我們相偕走過的足跡。
移動,改變原來的位置或方向。[例]他很不喜歡別人隨便移動書房中的文物。
傳輸,傳導輸送。[例]此地設備落伍，傳輸緩慢，因此所能取得的資訊有限。
鍵盤,1.鋼琴、風琴上排列著黑白鍵的部分。如鋼琴鍵盤、風琴鍵盤。[例]她的琴藝高超，只見手指在鍵盤上靈活的躍動，美妙的音樂就流瀉而出。
饑荒,五穀不生、果類不熟。[例]非洲地區土地貧瘠，氣候不良，因此常鬧饑荒。
分配,分攤、調配。[例]各種能源都應該合理分配運用。
平均,輕重相等，分量一致。[例]這次聚餐的費用，是由參與的同學平均分攤。
變遷,事物的變化、改移。[例]世事的變遷常令人有滄海桑田的感覺。
導致,促成、引起。[例]他們夫妻倆因長期溝通不良而導致分手。
惡化,情況轉壞。[例]病情惡化、水質惡化
攜手,1.手拉手。比喻感情親密。[例]經過多年的愛情長跑，他們終於決定攜手共度未來。
與眾不同,獨樹一幟，和一般人不同。[例]他喜歡標新立異，連穿著也與眾不同。
看家本領,自己特別專長，但不輕易顯露的技藝。[例]短打觸擊是中華隊的看家本領，使得對方守備陣容大亂。
得天獨厚,形容人的天賦、社會條件，或是地方的自然環境特別優越。[例]她有一副得天獨厚的好嗓子，因此一出道便大受歡迎。
腳趾,腳上的趾頭。[例]她因為走了太多路，腳趾上都起了水泡。　◎
構造,物體的組織。[例]人體的構造非常精妙，非人工技術所能模擬。
輕易,1.簡單容易。[例]這不是件輕易的事，大家要先有心理準備。
壁虎,動物名。爬蟲類有鱗目蜥蜴亞目。脊部色灰暗，身體扁平，四腳上有吸盤，能游行於天花板或直立的牆壁上。[例]壁虎的尾部尖長，遇到敵襲時常自斷逃生。　◎
輕而易舉,形容簡單容易，不費力。[例]對他而言，這件事輕而易舉，難不倒他的。
研究,1.深入探索事物的性質、規律、道理等。[例]老師要同學們種植綠豆，以研究它的生長過程。
肢體,身體四肢。[例]他雖然肢體稍有殘缺，但毅力卻比一般人還要堅定。
身懷絕技,具有獨特的技藝。[例]這部武俠片的主角，個個都是身懷絕技、功夫了得的武林高手。
不僅,1.不止、不單。[例]這不僅是他個人的意思，也是全體同學的想法。
阿姆斯壯,人名。（西元1930～2012）美國太空人，出身清寒，印第安那州普渡大學修航空工程，獲南加州大學碩士，曾任俄亥俄州辛辛那提大學航空工程系教授。一九六九年與艾德林同時登陸月球，成為人類史上登月的第一人。
津津樂道,形容很有興味的談論。[例]當年小王見義勇為、捨身救人的事蹟，至今仍為眾人津津樂道。
嘗試,試一試、試驗。[例]在還沒確定自己的志向前，不妨多方嘗試一下。
探測,探察偵測。[例]海底探測
太空總署,世界各國為研究太空、開發太空計畫而設立的總體性中心機構。如美國太空總署。
大富翁,1.非常富有的人。[例]他希望有朝一日能成為世界數一數二的大富翁。
嚮往,思慕而神往。[例]桃花源的生活令人嚮往。
吸引,吸收導引。[例]這家餐廳打算重新整修裝潢以吸引顧客上門。
催生,1.用藥物或其他方法，使胎兒提早出生。[例]產婦若羊水已破，需立即催生。
自豪,為自己感到光榮、驕傲。[例]他對自己的廚藝頗為自豪。
忽然,突然。[例]忽然間烏雲密布，緊接著就下起大雨來了。
打滾,1.躺在地上來回翻滾。[例]小狗在沙堆裡打滾玩耍。
禁不住,1.承受不起。[例]她的身子一向嬌弱，禁不住這種變化無常的天氣。
一望無際,一眼望去看不著邊際。形容寬廣、遼闊。[例]登上樓頂，是一望無際的藍天白雲，頓時感覺神清氣爽。
寬廣,面積或範圍廣大。[例]新闢的公園占地寬廣，公共設施相當完善，是休閒的好去處。
萬丈,形容極高或極深。如：「萬丈光芒」、「萬丈深淵」。
水災,因久雨、河水氾濫、融雪或山洪暴發等因素而造成的災害。[例]連日的豪雨，已使各地水災頻傳。
旱災,因長期雨水不足而造成的災害。[例]因為缺水而造成的旱災，可望由連日的豪雨而解除。
耗盡,消耗殆盡。[例]他們為了醫治因車禍而癱瘓的兒子，幾已耗盡家產。
遺憾,事情的本身或發展令人感到憾恨或不滿意。[例]膝下無子是他終身的遺憾。
皎潔,明亮潔白。[例]今晚的月色分外皎潔。
嫦娥,1.后羿的妻子姮娥。參見「姮娥」條。
吳剛,古代神話中的人物。舊傳為漢西河（今山西省離石縣）人，學仙有過，遭天帝懲罰到月宮砍伐桂樹。
冰霜,1.冰和霜。
映照,映射、照射。[例]湖面在夕陽映照下，水光粼粼，煞是美麗。
浮現,顯現、湧現。[例]見到眼前的景象，十幾年前的往事一一浮現心頭。
是否,疑問副詞。指對不對，是不是。[例]老師問我們是否讀過一些偉人傳記？
依舊,1.延續舊有的樣子。[例]景物依舊，人事已非。
淚水,眼淚。[例]天然的淚水具有消毒、淨化、潤溼眼球的功能。
孤單,單獨無依。[例]由於父母忙於工作，那個小孩常孤單一人在住家附近遊盪。
乖乖,1.安靜、順從。 / 助詞。表示驚嘆。[例]乖乖！這師傅的手藝還真不賴！
筋斗雲,明代吳承恩所著《西遊記》中，孫悟空飛行時所乘的雲。《紅樓夢》第五四回：「只見孫行者駕著筋斗雲來了。」也作「觔斗雲」。
金箍棒,明代吳承恩《西遊記》中主角孫悟空所持的兵器。原為大禹治水時，定江海深淺的一塊神鐵，重一萬三千五百斤，可大可小，兩端套有金箍，中間為一段烏鐵，上刻「如意金箍棒」，是一件十分厲害的特殊武器。《紅樓夢》第五四回：「只見孫行者駕著筋斗雲來了，看見九個魂，便要拿金箍棒打，嚇得九個魂忙跪下央求。」《老殘遊記》第六回：「總有一天碰著大聖不高興的時候，舉起『金箍棒』來給他一棒，那他就受不住了！」
呼風喚雨,1.形容神仙或道士法力強大，能夠駕馭風雨。[例]民間傳說裡的道士既能呼風喚雨，又能驅邪除魔。
掀翻,掀起翻倒。[例]他與對方談判破裂，憤而掀翻桌子。
修行,修習實踐，多指學佛或學道等宗教方面。[例]他是一位在家修行的居士。
咒語,宗教上稱具有特殊力量的語詞或語句。[例]法會上，法師口唸咒語，超渡亡魂。
掏出,取出、拿出。如：「他掏出口袋中的糖果，分給大家吃。」
齊天大聖,小說西遊記中美猴王孫悟空的稱號。孫悟空神通廣大，能七十二變，故獲此尊稱。典出《西遊記》第四回。後比喻神通廣大。《冷眼觀》第一七回：「其實是主考的車子一過了蘆溝橋，就送關節的送關節，交條子的交條子，一個個齊天大聖，大聖齊天了。」
壓住,1.以物品覆蓋其上。[例]風太大了！拿本書把桌上的紙張壓住吧！
蚊帳,防蚊子的紗帳。[例]晚上就寢最好掛上蚊帳，以防蚊子叮咬。
非洲,洲名。阿非利加洲的簡稱。參見「阿非利加洲」條。
瘧疾,由瘧蚊散播瘧原蟲所引起的急性傳染病。其症狀有週期性的發冷發熱、大量出汗、頭痛、口渴、全身無力及溶血等現象。[例]熱帶地區因氣候條件終年有利蚊子生長，所以往往是瘧疾疫區。　△打擺子、冷熱病
募集,招募聚集。[例]災難發生後，有關單位立即募集人力及救濟品，以救助災民。
捐贈,捐獻、贈送。[例]目前國內已開始倡導器官捐贈，響應的人不計其數。
獎狀,為獎勵而頒發的證書。[例]他獲得全校作文比賽第一名，校長頒給他一張獎狀，以為鼓勵。
收藏,1.收集保藏。[例]他熱愛中國文化，平時酷好收藏字畫。
雜誌,含有多類文章，定期出版的刊物。[例]圖書室內放有多種雜誌，可供讀者自由翻閱。
基金會,為興辦、發展某種事業或活動而組成的團體。資金來源可經由社會募捐或工商業界出資等方式取得。人員有的採固定編制，有些則是義務性協助。[例]防癌基金會、兒童燙傷基金會、消費者文教基金會
全力以赴,投入全部的心力以達成目的。[例]國家籃球代表隊誓言將全力以赴爭取最高榮譽。
德國,國名。位於歐洲中部。參見「德意志聯邦共和國」條。
似乎,好像。[例]義大利人愛好音樂，似乎每個人都是天生的音樂迷。
血液,高等動物血管系統中循環流動的液體。主要由血漿、血球細胞和血小板組成，紅色，有黏性及鹹味。它能運送養分、氧氣給細胞，並輸出二氧化碳等廢物至排泄器官，並且調節體溫，製造抗體以抵抗疾病。[例]醫院血庫中存放各式血型的血液，以備不時之需。
拍攝,利用攝影器材將人或物的形象記錄在軟片上。[例]他正在拍攝一部原住民生活的紀錄片。
颱風,發生在西太平洋上由強烈熱帶性低氣壓或熱帶氣旋所引起的暴風，其強度達到一定標準時即為颱風。颱風依其強度分為三級。中心最大風速每秒17.2至32.6公尺者，稱為「輕度颱風」；每秒32.7至50.9公尺者，稱為「中度颱風」；每秒51公尺以上者，稱為「強烈颱風」。[例]事先做好防颱準備，才能將颱風帶來的災害減至最低。
記錄,1.記載登錄。[例]他細心的進行氧化的實驗，並將過程和結果記錄下來。
哀愁,哀傷悲愁。[例]家中突遭巨變，使他陷入一片哀愁之中。
山巒,連綿的山。[例]這一帶山巒起伏，氣勢雄偉。
縱谷,與山脈的軸線平行的河谷。[例]花東縱谷
臍帶,連接胎兒與胎盤的帶狀構造，內含臍動脈與臍靜脈。胎兒藉此從母體吸取養分並排出廢物。[例]胎兒出生約一週後，臍帶會自行脫落。
人禍,人為的災禍。[例]這場災難並非天災，而是人禍。
殘破,殘缺破爛、不完整。[例]這棟房屋年久失修，早已殘破不堪。
檳榔,植物名。棕櫚科檳榔屬，常綠喬木。高三丈多，葉為羽狀複葉，枝幹似椰子而較細，栽種五年，才開花結果。一年一株可生三、四穗，每穗結實三、四百顆，味澀而微甘。將果實切開夾入石灰、荖花可食之。
降低,下降。[例]氣溫降低、水位降低
汙水,不潔淨的水。包括雨水、家庭排放出來的廢水及工業廢水等。[例]工廠任意排放汙水，將嚴重破壞河川生態。
不斷,1.不能截斷。[例]愁緒有如亂髮，剪不斷，理還亂。
陡峭,高峻且坡度大。[例]山勢陡峭
強勁,強而有力。[例]由於風勢強勁，海上的漁船紛紛進港避風。
高聳,直立突出。[例]這一座新建的大廈高聳入雲，極為壯觀。
充飢,吃東西以解除飢餓。[例]離中飯時間尚久，暫且吃些餅乾充飢吧！
隱形,隱藏形體。[例]魔術師將自己身軀隱形的單元，是這場表演的壓軸。
尖銳,1.尖而銳利。[例]這把刀子非常尖銳，要小心使用。
冷箭,原指趁人不備時，暗中射出冷箭。後比喻暗中害人的行為。[例]放冷箭
堅韌,物體有韌性不易毀損。[例]這條繩子，堅韌無比，十分耐用。
虯鬚,蜷曲的鬍鬚。唐．李頎〈送陳章甫〉詩：「陳侯立身何坦蕩，虯鬚虎眉仍大顙。」也作「虯須」。
繁茂,繁密茂盛。[例]這個園子花木繁茂，景致怡人。
休止,停止。[例]休止符、永無休止
蔓生,藤蔓植物攀附他物成長的特性。[例]後院的牽牛花蔓生在籬笆上，形成一道美麗的花牆。
藉由,透過、經由。[例]老師藉由海洋生態的影片，引導學生討論環保議題。
豐富,豐裕充足。[例]聽說新同事是個經驗豐富的行銷高手，對新產品的推廣應該不成問題。
挫折,事情進行不順利或遭遇失敗。[例]遭遇挫折不要灰心喪志，只要再接再厲必能成功。
恆久,持久、長遠。[例]真理是恆久不變，且經得起任何考驗的。
黃澄澄,形容顏色金黃鮮明。[例]休耕期間，原本綠油油的稻浪都成了黃澄澄的油菜花海。
稻穗,叢聚成串的稻穀。[例]看著結實纍纍的稻穗，農夫們臉上露出了欣喜的笑容。
養活,贍養、撫養。[例]他獨力一人要養活一家人，其負擔之重可想而知。
來源,根源、出處。[例]典故來源、姓氏來源
藝術家,從事藝術工作而有相當成就的人。[例]藝術家對美的執著，往往是創作的原動力。
樸實,質樸實在。[例]他為人溫柔敦厚，誠懇樸實。
撿拾,拾取。[例]校園裡有茂密的松林，吸引許多民眾去撿拾松果。
頭巾,裹頭的布。[例]姊姊織了一條頭巾送給奶奶，作為祝壽的禮物。
樸素,樸實而不刻意修飾。[例]他的穿著一向簡單樸素。
尊嚴,不容侵犯的身分或地位。[例]即使身處逆境，他依然保持著自己的尊嚴，不輕易低頭。
任勞任怨,形容人做事熱心負責，不辭勞苦、不怕嫌怨。[例]他做事一向任勞任怨，從不與人計較。
慷慨,1.大方、不吝嗇。[例]王先生為人慷慨，出手大方，時常一擲千金而面不改色。
滋潤,浸潤、潤澤。[例]草木受到春雨的滋潤，顯得生意盎然。
商譽,商人或商店行號的信譽。[例]他不計血本的繼續生產，只為維護商譽。
服務,1.為社會、別人做事。[例]人生當以服務為目的。
關聯,關係連屬。[例]警方找出多條有關聯的線索，順利偵破這件命案。
核准,審定後批准。多用於公文。[例]他的房屋貸款案已經核准了，近日內就可到銀行辦理手續。
申請,1.向上級或相關單位說明理由，提出請求。[例]凡申請加入本會會員者，每年均享有各項優惠活動。
黑松,植物名。松科松屬，常綠喬木。枝開展成闊圓錐狀樹冠，樹皮黑灰色，針葉二針一束，質硬粗短，四月開毬花，毬果圓錐狀卵形。適於造林防風砂。其脂可製松香油以供藥用。原產日本、南韓。
註冊,向有關機關、團體或學校登記備案。[例]許多青年學子趁著寒暑假四處打工，自己賺取註冊費用。
企業,從事生產、運輸、貿易等經濟活動的營利事業，由本身提供產品及服務，經由市場機制換取營利。如工廠、礦業、鐵路、貿易公司等。依出資來源不同，可分為公營企業及私人企業。[例]現代企業大多已走向多角化經營的發展趨勢。
堅毅不拔,堅忍剛毅，不能動搖。如：「他以堅毅不拔的精神，獨自完成艱鉅重任。」
歷經,經歷遍盡。[例]他歷經千辛萬苦，終於找到失散多年的兄弟。
英文,英國的語言和文字。[例]我們從國中就開始學習英文了。
銷售,出售、販賣。[例]這臺錄放影機功能佳，價錢又低，銷售情況一路領先。
霸主,1.春秋時代指勢力最大，能夠號令天下的諸侯。[例]齊桓公是春秋時代第一位霸主。
項目,事物分類的條目。[例]這次的體育競賽包括田徑、球類、游泳等項目。
娛樂,1.快樂，使歡樂。[例]他自告奮勇上臺表演餘興節目，娛樂賓客。
汽船,原指使用蒸汽機發動運轉行駛的船。後泛指各種動力引擎推進的船。[例]船長駕駛著汽船航行在河道上。
口哨,聚合雙脣，中間留一小孔或將手指伸入口內，用力吹氣而發出像吹哨子的聲音。[例]眼前春風吹拂著柳浪，我不禁吹起口哨，應和著鶯啼燕語。
經典,1.具重要性，可以作為典範的書籍。[例]博覽經典、曠世經典
框架,事物的格式與架構。[例]這部電影僅保留原著故事的框架，細節部分則有很大的改變。
劇情,戲劇中的情節內容。[例]這齣戲的劇情非常感人，使不少觀眾當場掉淚。
父母,父親和母親。[例]養兒方知父母恩
負責,擔負責任。[例]他在報社負責編輯工作。
判斷力,判別斷定事物的能力。[例]他對商機的判斷力很強，所以做生意一直賺大錢。
共鳴,1.發音體因受到與本身振動頻率相同的音波影響，也隨之產生發音的現象。如兩個頻率相同的音叉放在一起，敲擊其中一個使它發出聲音，另外一個音叉也會跟著發出聲音。[例]弦樂器的音箱如果製作精巧，使共鳴良好，將可發出美妙的聲響。
脫穎而出,顯露才能，超越眾人。[例]他在這次測驗中脫穎而出，名列前茅。
榮獲,光榮的得到。[例]他榮獲雙料冠軍，興奮不已。
細膩,1.細緻潤滑。[例]這家麵包店所推出的布丁，口感細膩、味道香濃，很受顧客喜愛。
效果,1.功效、成果。[例]這次展覽會的效果不錯，各廠商均接獲不少訂單。
團隊,團體、隊伍。[例]團隊組織、團隊精神
